Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2014-10-27,N (Jul 2015),0.0,0.0,0.0,0.0,18.8,0.0,0,0,0,2015-07-22
2014-10-28,N (Jul 2015),18.87,18.9,18.65,18.7,18.55,-0.25,10,0,7,2015-07-22
2014-10-29,N (Jul 2015),18.72,18.75,18.72,18.72,18.65,0.1,1,0,8,2015-07-22
2014-10-30,N (Jul 2015),0.0,18.75,18.85,0.0,18.65,0.0,0,0,8,2015-07-22
2014-10-31,N (Jul 2015),18.8,18.8,18.55,18.7,18.75,0.1,12,0,20,2015-07-22
2014-11-03,N (Jul 2015),18.87,19.08,18.77,18.98,18.95,0.2,58,0,76,2015-07-22
2014-11-04,N (Jul 2015),19.05,19.3,19.0,19.15,19.05,0.1,15,0,89,2015-07-22
2014-11-05,N (Jul 2015),18.95,19.03,18.8,18.95,18.85,-0.2,40,0,124,2015-07-22
2014-11-06,N (Jul 2015),18.85,18.97,18.6,18.6,18.6,-0.25,68,0,180,2015-07-22
2014-11-07,N (Jul 2015),18.75,18.75,18.55,18.61,18.65,0.05,33,0,209,2015-07-22
2014-11-10,N (Jul 2015),18.55,18.65,18.33,18.33,18.35,-0.3,49,0,248,2015-07-22
2014-11-11,N (Jul 2015),18.25,18.41,18.2,18.2,18.15,-0.2,26,0,267,2015-07-22
2014-11-12,N (Jul 2015),18.3,18.45,18.2,18.3,18.35,0.2,21,0,275,2015-07-22
2014-11-13,N (Jul 2015),18.35,18.9,18.3,18.61,18.65,0.3,144,0,377,2015-07-22
2014-11-14,N (Jul 2015),19.25,19.25,18.45,18.5,18.5,-0.15,201,0,434,2015-07-22
2014-11-17,N (Jul 2015),18.6,18.65,18.4,18.43,18.5,0.0,109,0,520,2015-07-22
2014-11-18,N (Jul 2015),18.4,18.56,18.3,18.5,18.6,0.1,139,0,517,2015-07-22
2014-11-19,N (Jul 2015),18.55,18.75,18.45,18.75,18.75,0.15,428,0,913,2015-07-22
2014-11-20,N (Jul 2015),18.7,18.9,18.6,18.65,18.65,-0.1,584,0,1212,2015-07-22
