Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2020-10-26,N (Jul 2021),26.93,26.93,26.93,26.93,26.725,0.0,5,0,5,2021-07-21
2020-10-27,N (Jul 2021),0.0,16.6,45.0,0.0,27.225,0.5,0,0,5,2021-07-21
2020-10-28,N (Jul 2021),28.27,28.27,28.05,28.05,27.425,0.2,4,0,9,2021-07-21
2020-10-29,N (Jul 2021),27.77,27.77,27.77,27.77,27.2,-0.225,3,0,12,2021-07-21
2020-10-30,N (Jul 2021),0.0,17.1,28.8,0.0,22.95,-4.25,0,0,12,2021-07-21
2020-11-02,N (Jul 2021),0.0,23.55,28.0,0.0,25.725,2.775,0,0,12,2021-07-21
2020-11-03,N (Jul 2021),27.15,27.15,27.15,27.15,27.3,1.575,5,0,17,2021-07-21
2020-11-04,N (Jul 2021),26.3,26.35,26.14,26.14,26.625,-0.675,8,0,23,2021-07-21
2020-11-05,N (Jul 2021),26.15,26.15,26.15,26.15,26.725,0.1,2,0,25,2021-07-21
2020-11-06,N (Jul 2021),0.0,25.0,28.85,0.0,26.925,0.2,0,0,25,2021-07-21
2020-11-09,N (Jul 2021),25.6,25.6,24.6,24.6,24.45,-2.475,7,0,32,2021-07-21
2020-11-10,N (Jul 2021),24.95,24.95,24.95,24.95,24.3,-0.15,1,0,33,2021-07-21
2020-11-11,N (Jul 2021),25.0,25.0,24.95,24.95,24.525,0.225,6,0,36,2021-07-21
2020-11-12,N (Jul 2021),25.6,25.65,25.6,25.65,25.975,1.45,2,0,37,2021-07-21
2020-11-13,N (Jul 2021),25.31,25.5,25.1,25.1,25.0,-0.975,20,0,52,2021-07-21
2020-11-16,N (Jul 2021),25.6,25.6,25.1,25.45,24.65,-0.35,7,0,57,2021-07-21
2020-11-17,N (Jul 2021),25.85,25.92,25.71,25.71,25.4,0.75,6,0,62,2021-07-21
2020-11-18,N (Jul 2021),0.0,25.3,26.0,0.0,25.15,-0.25,0,0,62,2021-07-21
