Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2015-03-23,Z (Dec 2015),0.0,0.0,0.0,0.0,19.175,0.0,0,0,0,2015-12-16
2015-03-24,Z (Dec 2015),0.0,19.1,19.35,0.0,19.25,0.075,0,0,0,2015-12-16
2015-03-25,Z (Dec 2015),19.45,19.55,19.25,19.55,19.55,0.3,6,0,4,2015-12-16
2015-03-26,Z (Dec 2015),19.55,19.75,19.45,19.53,19.45,-0.1,12,0,13,2015-12-16
2015-03-27,Z (Dec 2015),19.43,19.55,19.4,19.42,19.425,-0.025,41,0,51,2015-12-16
2015-03-30,Z (Dec 2015),19.35,19.42,19.24,19.38,19.4,-0.025,125,0,160,2015-12-16
2015-03-31,Z (Dec 2015),19.39,19.6,19.37,19.57,19.6,0.2,52,0,198,2015-12-16
2015-04-01,Z (Dec 2015),19.7,19.75,19.55,19.61,19.625,0.025,34,0,224,2015-12-16
2015-04-02,Z (Dec 2015),19.7,19.7,19.59,19.62,19.65,0.025,144,0,354,2015-12-16
2015-04-03,Z (Dec 2015),19.7,19.95,19.7,19.65,19.825,0.175,4,0,354,2015-12-16
2015-04-06,Z (Dec 2015),19.7,19.75,19.35,19.45,19.425,-0.225,114,0,462,2015-12-16
2015-04-07,Z (Dec 2015),19.34,19.45,19.3,19.4,19.375,-0.05,37,0,482,2015-12-16
2015-04-08,Z (Dec 2015),19.37,19.4,19.25,19.4,19.35,-0.025,49,0,455,2015-12-16
2015-04-09,Z (Dec 2015),19.4,19.5,19.2,19.2,19.2,-0.15,470,0,1058,2015-12-16
2015-04-10,Z (Dec 2015),19.27,19.27,18.75,18.76,18.75,-0.45,264,0,1060,2015-12-16
2015-04-13,Z (Dec 2015),18.74,19.05,18.5,19.04,19.025,0.275,228,0,1175,2015-12-16
2015-04-14,Z (Dec 2015),19.05,19.15,18.9,19.1,19.05,0.025,485,0,1647,2015-12-16
2015-04-15,Z (Dec 2015),19.05,19.05,18.85,18.99,18.975,-0.075,590,0,1878,2015-12-16
2015-04-16,Z (Dec 2015),18.96,19.1,18.85,18.95,18.95,-0.025,572,0,2354,2015-12-16
2015-04-17,Z (Dec 2015),19.0,19.4,18.95,19.2,19.2,0.25,757,0,2840,2015-12-16
2015-04-20,Z (Dec 2015),19.0,19.07,18.95,19.0,18.975,-0.225,301,0,2770,2015-12-16
2015-04-21,Z (Dec 2015),19.0,19.1,18.85,19.04,19.025,0.05,111,0,2693,2015-12-16
2015-04-22,Z (Dec 2015),19.05,19.1,18.9,18.93,18.975,-0.05,59,0,2702,2015-12-16
2015-04-23,Z (Dec 2015),19.05,19.05,18.75,18.85,18.825,-0.15,454,0,3098,2015-12-16
2015-04-24,Z (Dec 2015),18.85,18.87,18.8,18.85,18.825,0.0,166,0,3104,2015-12-16
2015-04-27,Z (Dec 2015),18.8,19.02,18.73,18.98,18.975,0.15,326,0,3206,2015-12-16
2015-04-28,Z (Dec 2015),19.0,19.24,18.6,18.6,18.625,-0.35,415,0,3612,2015-12-16
2015-04-29,Z (Dec 2015),18.67,18.95,18.67,18.95,18.975,0.35,154,0,3489,2015-12-16
2015-04-30,Z (Dec 2015),19.0,19.25,18.9,19.05,19.05,0.075,521,0,3886,2015-12-16
2015-05-01,Z (Dec 2015),19.0,19.0,18.65,18.7,18.725,-0.325,119,0,3756,2015-12-16
2015-05-04,Z (Dec 2015),18.6,18.8,18.6,18.7,18.725,0.0,283,0,3864,2015-12-16
2015-05-05,Z (Dec 2015),18.7,18.98,18.7,18.88,18.9,0.175,585,0,4107,2015-12-16
2015-05-06,Z (Dec 2015),18.85,19.25,18.75,18.95,18.925,0.025,982,0,4608,2015-12-16
2015-05-07,Z (Dec 2015),18.98,19.2,18.8,18.9,18.875,-0.05,416,0,4617,2015-12-16
2015-05-08,Z (Dec 2015),18.8,18.81,18.49,18.64,18.65,-0.225,447,0,4612,2015-12-16
2015-05-11,Z (Dec 2015),18.65,19.0,18.6,18.95,18.925,0.275,924,0,5334,2015-12-16
2015-05-12,Z (Dec 2015),18.94,19.16,18.8,18.83,18.8,-0.125,326,0,5395,2015-12-16
2015-05-13,Z (Dec 2015),18.81,18.82,18.63,18.65,18.625,-0.175,693,0,5525,2015-12-16
2015-05-14,Z (Dec 2015),18.63,18.65,18.52,18.55,18.575,-0.05,531,0,5861,2015-12-16
2015-05-15,Z (Dec 2015),18.56,18.63,18.47,18.5,18.475,-0.1,811,0,6101,2015-12-16
2015-05-18,Z (Dec 2015),18.52,18.54,18.1,18.1,18.15,-0.325,568,0,6295,2015-12-16
2015-05-19,Z (Dec 2015),18.1,18.15,17.96,18.05,18.05,-0.1,768,0,6724,2015-12-16
2015-05-20,Z (Dec 2015),18.08,18.15,17.93,18.1,18.125,0.075,1463,0,7316,2015-12-16
2015-05-21,Z (Dec 2015),18.1,18.18,17.87,17.9,17.875,-0.25,2959,0,8525,2015-12-16
2015-05-22,Z (Dec 2015),17.95,18.1,17.85,18.1,18.075,0.2,938,0,8659,2015-12-16
2015-05-26,Z (Dec 2015),18.05,18.32,17.95,18.1,18.075,0.0,3999,0,9056,2015-12-16
2015-05-27,Z (Dec 2015),18.1,18.15,17.8,18.0,17.975,-0.1,1488,0,9605,2015-12-16
2015-05-28,Z (Dec 2015),18.0,18.13,17.95,18.05,18.025,0.05,1168,0,9753,2015-12-16
2015-05-29,Z (Dec 2015),18.0,18.2,17.99,18.1,18.075,0.05,1889,0,9844,2015-12-16
2015-06-01,Z (Dec 2015),18.11,18.15,17.94,18.0,17.975,-0.1,1336,0,10133,2015-12-16
2015-06-02,Z (Dec 2015),17.97,18.25,17.97,18.25,18.225,0.25,1531,0,10289,2015-12-16
2015-06-03,Z (Dec 2015),18.2,18.21,18.0,18.03,18.025,-0.2,1455,0,10594,2015-12-16
2015-06-04,Z (Dec 2015),18.05,18.4,18.05,18.26,18.275,0.25,1541,0,10616,2015-12-16
2015-06-05,Z (Dec 2015),18.29,18.4,18.12,18.35,18.325,0.05,2740,0,11551,2015-12-16
2015-06-08,Z (Dec 2015),18.3,18.49,18.25,18.45,18.425,0.1,1727,0,12070,2015-12-16
2015-06-09,Z (Dec 2015),18.35,18.5,18.28,18.35,18.375,-0.05,1724,0,12586,2015-12-16
2015-06-10,Z (Dec 2015),18.35,18.36,17.95,18.0,17.975,-0.4,2414,0,13497,2015-12-16
2015-06-11,Z (Dec 2015),18.0,18.05,17.8,17.9,17.875,-0.1,2447,0,14332,2015-12-16
2015-06-12,Z (Dec 2015),17.85,18.05,17.82,17.95,17.975,0.1,2665,0,14888,2015-12-16
2015-06-15,Z (Dec 2015),18.05,18.3,17.93,18.3,18.275,0.3,3206,0,15606,2015-12-16
2015-06-16,Z (Dec 2015),18.24,18.39,18.0,18.15,18.125,-0.15,5025,0,16813,2015-12-16
2015-06-17,Z (Dec 2015),18.12,18.3,17.97,18.05,18.075,-0.05,3152,0,16512,2015-12-16
2015-06-18,Z (Dec 2015),18.09,18.18,17.75,17.8,17.825,-0.25,6649,0,18211,2015-12-16
2015-06-19,Z (Dec 2015),17.85,18.0,17.8,18.0,17.975,0.15,5070,0,16960,2015-12-16
2015-06-22,Z (Dec 2015),17.9,17.94,17.5,17.56,17.575,-0.4,3286,0,17437,2015-12-16
2015-06-23,Z (Dec 2015),17.57,17.57,17.39,17.42,17.425,-0.15,2699,0,17851,2015-12-16
2015-06-24,Z (Dec 2015),17.4,17.55,17.3,17.52,17.525,0.1,5198,0,17905,2015-12-16
2015-06-25,Z (Dec 2015),17.5,17.55,17.27,17.55,17.5,-0.025,4442,0,18880,2015-12-16
