Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2006-05-19,N (Jul 06),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2006-07-19
2006-05-22,N (Jul 06),150.5,150.5,150.5,150.5,151.2,151.2,10,0,10,2006-07-19
2006-05-23,N (Jul 06),149.5,149.6,145.8,149.4,149.1,-2.1,102,0,95,2006-07-19
2006-05-24,N (Jul 06),150.4,153.9,150.4,153.9,152.4,3.3,76,0,146,2006-07-19
2006-05-25,N (Jul 06),152.1,152.1,151.3,151.7,150.5,-1.9,225,0,366,2006-07-19
2006-05-26,N (Jul 06),149.5,149.5,148.4,148.8,148.2,-2.3,26,0,387,2006-07-19
2006-05-30,N (Jul 06),149.8,159.6,149.8,159.6,160.4,12.2,226,0,580,2006-07-19
2006-05-31,N (Jul 06),158.0,158.9,158.0,158.3,158.8,-1.6,17,0,580,2006-07-19
2006-06-01,N (Jul 06),156.0,156.0,154.9,154.9,153.5,-5.3,16,0,611,2006-07-19
2006-06-02,N (Jul 06),150.1,150.6,150.1,150.5,149.8,-3.7,32,0,591,2006-07-19
2006-06-05,N (Jul 06),150.7,156.0,150.0,156.0,155.9,6.1,72,0,621,2006-07-19
2006-06-06,N (Jul 06),157.4,160.8,157.4,160.8,158.8,2.9,51,0,662,2006-07-19
2006-06-07,N (Jul 06),158.0,164.3,158.0,164.3,163.5,4.7,110,0,747,2006-07-19
2006-06-08,N (Jul 06),164.4,173.1,164.4,168.0,169.1,5.6,93,0,818,2006-07-19
2006-06-09,N (Jul 06),169.0,171.0,168.9,171.0,170.2,1.1,62,0,810,2006-07-19
2006-06-12,N (Jul 06),172.2,175.0,172.2,175.0,175.7,5.5,15,0,819,2006-07-19
2006-06-13,N (Jul 06),175.0,187.1,175.0,187.1,186.9,11.2,236,0,1049,2006-07-19
2006-06-14,N (Jul 06),185.5,195.7,184.5,188.2,189.4,2.5,130,0,1128,2006-07-19
2006-06-15,N (Jul 06),185.0,185.0,163.0,163.7,162.4,-27.0,496,0,1542,2006-07-19
2006-06-16,N (Jul 06),163.9,168.0,163.9,168.0,167.3,4.9,225,0,1674,2006-07-19
2006-06-19,N (Jul 06),165.0,169.6,164.6,169.0,168.8,1.5,94,0,1702,2006-07-19
2006-06-20,N (Jul 06),165.7,167.4,165.7,167.0,166.2,-2.6,63,0,1763,2006-07-19
2006-06-21,N (Jul 06),168.1,168.1,152.5,156.8,156.7,-9.5,579,0,2002,2006-07-19
2006-06-22,N (Jul 06),156.4,159.3,156.2,157.0,157.6,0.9,217,0,1705,2006-07-19
2006-06-23,N (Jul 06),158.9,159.0,154.3,155.3,156.9,-0.7,90,0,1775,2006-07-19
2006-06-26,N (Jul 06),158.5,158.8,156.0,156.0,155.6,-1.3,63,0,1610,2006-07-19
2006-06-27,N (Jul 06),154.4,160.0,153.8,160.0,159.3,3.7,79,0,1615,2006-07-19
2006-06-28,N (Jul 06),157.5,162.0,157.5,160.0,159.6,0.3,57,0,1581,2006-07-19
2006-06-29,N (Jul 06),158.8,158.8,142.3,143.3,143.4,-16.2,511,0,1891,2006-07-19
2006-06-30,N (Jul 06),140.6,141.2,138.8,140.3,140.2,-3.2,342,0,1846,2006-07-19
2006-07-03,N (Jul 06),139.0,139.4,136.6,136.8,137.2,-3.0,265,0,1903,2006-07-19
2006-07-05,N (Jul 06),138.9,147.7,138.9,143.9,144.0,6.8,249,0,1737,2006-07-19
2006-07-06,N (Jul 06),141.0,141.6,138.1,141.6,141.6,-2.4,97,0,1752,2006-07-19
2006-07-07,N (Jul 06),142.0,144.6,140.0,144.0,143.6,2.0,93,0,1771,2006-07-19
2006-07-10,N (Jul 06),143.0,144.5,141.0,143.3,143.2,-0.4,62,0,1761,2006-07-19
2006-07-11,N (Jul 06),144.5,146.6,138.5,138.5,139.0,-4.2,218,0,1779,2006-07-19
2006-07-12,N (Jul 06),138.3,145.1,138.3,144.9,144.4,5.4,128,0,1790,2006-07-19
2006-07-13,N (Jul 06),146.6,164.0,146.6,163.5,163.6,19.2,519,0,2074,2006-07-19
2006-07-14,N (Jul 06),161.5,173.7,161.5,170.9,172.7,9.1,269,0,2190,2006-07-19
2006-07-17,N (Jul 06),172.1,175.7,168.0,173.5,173.5,0.8,455,0,2368,2006-07-19
2006-07-18,N (Jul 06),169.5,186.0,169.5,177.7,178.6,5.1,617,0,2343,2006-07-19
2006-07-19,N (Jul 06),0.0,0.0,0.0,0.0,170.05,-8.55,0,0,2122,2006-07-19
