Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2015-04-20,F (Jan 2016),0.0,18.95,0.0,0.0,18.975,0.0,0,0,0,2016-01-20
2015-04-21,F (Jan 2016),0.0,19.05,19.65,0.0,19.35,0.375,0,0,0,2016-01-20
2015-04-22,F (Jan 2016),0.0,19.2,19.25,0.0,19.15,-0.2,0,0,0,2016-01-20
2015-04-23,F (Jan 2016),0.0,19.1,19.25,0.0,19.175,0.025,0,0,0,2016-01-20
2015-04-24,F (Jan 2016),19.15,19.15,19.15,19.15,19.175,0.0,2,0,2,2016-01-20
2015-04-27,F (Jan 2016),19.25,19.3,19.15,19.25,19.35,0.175,1,0,3,2016-01-20
2015-04-28,F (Jan 2016),19.45,19.45,19.1,19.1,19.125,-0.225,3,0,4,2016-01-20
2015-04-29,F (Jan 2016),19.05,19.25,19.05,19.25,19.175,0.05,3,0,6,2016-01-20
2015-04-30,F (Jan 2016),19.27,19.45,19.23,19.3,19.375,0.2,9,0,10,2016-01-20
2015-05-01,F (Jan 2016),19.2,19.25,19.05,19.05,19.1,-0.275,4,0,10,2016-01-20
2015-05-04,F (Jan 2016),19.15,19.2,19.07,19.2,19.175,0.075,6,0,14,2016-01-20
2015-05-05,F (Jan 2016),19.3,19.31,19.25,19.25,19.275,0.1,9,0,22,2016-01-20
2015-05-06,F (Jan 2016),19.3,19.52,19.25,19.35,19.325,0.05,126,0,253,2016-01-20
2015-05-07,F (Jan 2016),19.55,19.56,19.25,19.3,19.3,-0.025,81,0,250,2016-01-20
2015-05-08,F (Jan 2016),19.2,19.25,18.95,19.1,19.125,-0.175,41,0,218,2016-01-20
2015-05-11,F (Jan 2016),19.09,19.35,19.08,19.33,19.375,0.25,543,0,736,2016-01-20
2015-05-12,F (Jan 2016),19.45,19.55,19.28,19.3,19.25,-0.125,133,0,809,2016-01-20
2015-05-13,F (Jan 2016),19.2,19.25,19.1,19.15,19.125,-0.125,436,0,1132,2016-01-20
2015-05-14,F (Jan 2016),19.1,19.1,19.03,19.04,19.1,-0.025,152,0,1058,2016-01-20
2015-05-15,F (Jan 2016),19.05,19.05,18.98,19.0,19.0,-0.1,446,0,1692,2016-01-20
2015-05-18,F (Jan 2016),18.95,19.0,18.65,18.71,18.65,-0.35,88,0,1371,2016-01-20
2015-05-19,F (Jan 2016),18.64,18.66,18.5,18.59,18.6,-0.05,73,0,1434,2016-01-20
2015-05-20,F (Jan 2016),18.6,18.7,18.5,18.63,18.65,0.05,93,0,1445,2016-01-20
2015-05-21,F (Jan 2016),18.67,18.7,18.45,18.5,18.475,-0.175,606,0,1857,2016-01-20
2015-05-22,F (Jan 2016),18.45,18.63,18.45,18.6,18.625,0.15,315,0,2066,2016-01-20
2015-05-26,F (Jan 2016),18.6,18.85,18.55,18.63,18.65,0.025,624,0,2346,2016-01-20
2015-05-27,F (Jan 2016),18.6,18.7,18.41,18.55,18.575,-0.075,61,0,2100,2016-01-20
2015-05-28,F (Jan 2016),18.57,18.67,18.55,18.6,18.6,0.025,302,0,2256,2016-01-20
2015-05-29,F (Jan 2016),18.57,18.8,18.57,18.71,18.675,0.075,375,0,2301,2016-01-20
2015-06-01,F (Jan 2016),18.65,18.7,18.54,18.56,18.55,-0.125,33,0,2252,2016-01-20
2015-06-02,F (Jan 2016),18.75,18.79,18.6,18.79,18.775,0.225,159,0,2346,2016-01-20
2015-06-03,F (Jan 2016),18.7,18.7,18.6,18.63,18.65,-0.125,300,0,2520,2016-01-20
2015-06-04,F (Jan 2016),18.67,18.95,18.66,18.84,18.875,0.225,481,0,2685,2016-01-20
2015-06-05,F (Jan 2016),18.85,18.91,18.68,18.85,18.875,0.0,1440,0,3289,2016-01-20
2015-06-08,F (Jan 2016),18.85,19.04,18.83,19.04,19.0,0.125,351,0,3367,2016-01-20
2015-06-09,F (Jan 2016),18.98,19.04,18.87,18.9,18.925,-0.075,436,0,3532,2016-01-20
2015-06-10,F (Jan 2016),18.92,18.92,18.55,18.55,18.575,-0.35,1030,0,4281,2016-01-20
2015-06-11,F (Jan 2016),18.55,18.59,18.4,18.45,18.425,-0.15,524,0,4631,2016-01-20
2015-06-12,F (Jan 2016),18.47,18.67,18.47,18.55,18.575,0.15,397,0,4676,2016-01-20
2015-06-15,F (Jan 2016),18.65,18.88,18.55,18.85,18.875,0.3,916,0,5049,2016-01-20
2015-06-16,F (Jan 2016),18.81,18.93,18.65,18.75,18.725,-0.15,2016,0,6017,2016-01-20
2015-06-17,F (Jan 2016),18.7,18.9,18.62,18.75,18.725,0.0,2481,0,6947,2016-01-20
2015-06-18,F (Jan 2016),18.73,18.82,18.42,18.46,18.475,-0.25,3729,0,8394,2016-01-20
2015-06-19,F (Jan 2016),18.46,18.61,18.43,18.61,18.625,0.15,1960,0,8648,2016-01-20
2015-06-22,F (Jan 2016),18.5,18.5,18.12,18.18,18.175,-0.45,1445,0,8557,2016-01-20
