Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2014-07-21,J (Apr 2015),0.0,0.05,0.0,0.0,16.9,0.0,0,0,0,2015-04-15
2014-07-22,J (Apr 2015),17.75,17.75,17.1,17.2,17.2,0.3,194,0,173,2015-04-15
2014-07-23,J (Apr 2015),17.15,17.37,17.14,17.37,17.35,0.15,550,0,466,2015-04-15
2014-07-24,J (Apr 2015),17.32,17.4,17.19,17.4,17.45,0.1,1041,0,1113,2015-04-15
2014-07-25,J (Apr 2015),17.4,17.49,17.36,17.47,17.5,0.05,233,0,1269,2015-04-15
2014-07-28,J (Apr 2015),17.41,17.51,17.38,17.4,17.4,-0.1,369,0,1615,2015-04-15
2014-07-29,J (Apr 2015),17.32,17.4,17.3,17.35,17.4,0.0,124,0,1583,2015-04-15
2014-07-30,J (Apr 2015),17.22,17.46,17.19,17.41,17.45,0.05,214,0,1712,2015-04-15
2014-07-31,J (Apr 2015),17.55,18.0,17.45,18.0,18.0,0.55,384,0,1923,2015-04-15
2014-08-01,J (Apr 2015),18.04,18.45,17.6,18.45,18.45,0.45,456,0,2094,2015-04-15
2014-08-04,J (Apr 2015),18.2,18.4,17.95,18.07,18.15,-0.3,112,0,2071,2015-04-15
2014-08-05,J (Apr 2015),18.18,18.7,18.1,18.67,18.65,0.5,259,0,2281,2015-04-15
2014-08-06,J (Apr 2015),18.61,18.81,18.38,18.8,18.8,0.15,479,0,2404,2015-04-15
2014-08-07,J (Apr 2015),18.6,19.16,18.59,19.05,19.05,0.25,227,0,2464,2015-04-15
2014-08-08,J (Apr 2015),19.06,20.11,18.75,18.8,18.8,-0.25,404,0,2610,2015-04-15
2014-08-11,J (Apr 2015),18.8,18.93,18.3,18.4,18.4,-0.4,74,0,2590,2015-04-15
2014-08-12,J (Apr 2015),18.35,18.46,18.3,18.35,18.35,-0.05,50,0,2600,2015-04-15
2014-08-13,J (Apr 2015),18.31,18.31,18.0,18.0,17.95,-0.4,45,0,2619,2015-04-15
2014-08-14,J (Apr 2015),17.95,17.95,17.65,17.8,17.65,-0.3,328,0,2779,2015-04-15
2014-08-15,J (Apr 2015),17.6,18.0,17.49,17.6,17.6,-0.05,243,0,2865,2015-04-15
2014-08-18,J (Apr 2015),17.35,17.36,17.15,17.27,17.3,-0.3,202,0,2947,2015-04-15
2014-08-19,J (Apr 2015),17.18,17.26,17.15,17.23,17.2,-0.1,112,0,2969,2015-04-15
2014-08-20,J (Apr 2015),17.2,17.34,17.05,17.2,17.2,0.0,393,0,3220,2015-04-15
2014-08-21,J (Apr 2015),17.25,17.32,17.18,17.25,17.25,0.05,470,0,3554,2015-04-15
