Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2016-11-21,Q (Aug 2017),0.0,0.0,0.0,0.0,19.725,0.0,0,0,0,2017-08-16
2016-11-22,Q (Aug 2017),19.98,20.1,19.9,19.9,19.775,0.05,14,0,11,2017-08-16
2016-11-23,Q (Aug 2017),20.0,20.05,19.86,19.88,19.8,0.025,45,0,36,2017-08-16
2016-11-25,Q (Aug 2017),20.0,20.0,19.95,19.95,19.875,0.075,10,0,45,2017-08-16
2016-11-28,Q (Aug 2017),20.0,20.05,19.9,19.95,19.95,0.075,29,0,67,2017-08-16
2016-11-29,Q (Aug 2017),19.9,19.95,19.88,19.88,19.925,-0.025,159,0,153,2017-08-16
2016-11-30,Q (Aug 2017),19.94,19.94,19.8,19.82,19.825,-0.1,302,0,451,2017-08-16
2016-12-01,Q (Aug 2017),19.9,20.15,19.86,20.0,20.1,0.275,119,0,554,2017-08-16
2016-12-02,Q (Aug 2017),20.0,20.15,19.93,19.98,20.025,-0.075,140,0,660,2017-08-16
2016-12-05,Q (Aug 2017),20.0,20.0,19.8,19.8,19.875,-0.15,134,0,760,2017-08-16
2016-12-06,Q (Aug 2017),19.83,19.83,19.64,19.64,19.625,-0.25,40,0,780,2017-08-16
2016-12-07,Q (Aug 2017),19.55,19.76,19.55,19.76,19.675,0.05,32,0,805,2017-08-16
2016-12-08,Q (Aug 2017),19.8,19.89,19.67,19.74,19.7,0.025,165,0,916,2017-08-16
2016-12-09,Q (Aug 2017),19.8,19.85,19.65,19.67,19.65,-0.05,167,0,1062,2017-08-16
2016-12-12,Q (Aug 2017),19.8,19.85,19.75,19.84,19.8,0.15,40,0,1079,2017-08-16
2016-12-13,Q (Aug 2017),19.8,19.9,19.75,19.75,19.775,-0.025,104,0,1135,2017-08-16
2016-12-14,Q (Aug 2017),19.83,19.85,19.65,19.8,19.7,-0.075,60,0,1168,2017-08-16
2016-12-15,Q (Aug 2017),19.6,19.7,19.6,19.7,19.65,-0.05,29,0,1168,2017-08-16
2016-12-16,Q (Aug 2017),19.75,19.75,19.63,19.67,19.65,0.0,17,0,1167,2017-08-16
2016-12-19,Q (Aug 2017),19.61,19.61,19.47,19.47,19.5,-0.15,35,0,1176,2017-08-16
2016-12-20,Q (Aug 2017),19.52,19.53,19.4,19.45,19.45,-0.05,33,0,1196,2017-08-16
2016-12-21,Q (Aug 2017),19.42,19.46,19.31,19.46,19.4,-0.05,48,0,1218,2017-08-16
2016-12-22,Q (Aug 2017),19.5,19.59,19.45,19.53,19.525,0.125,223,0,1372,2017-08-16
2016-12-23,Q (Aug 2017),19.6,19.7,19.55,19.62,19.625,0.1,121,0,1427,2017-08-16
2016-12-27,Q (Aug 2017),19.5,19.5,19.44,19.44,19.45,-0.175,30,0,1445,2017-08-16
2016-12-28,Q (Aug 2017),19.55,19.65,19.45,19.55,19.55,0.1,304,0,1638,2017-08-16
2016-12-29,Q (Aug 2017),19.55,19.75,19.55,19.7,19.675,0.125,177,0,1775,2017-08-16
2016-12-30,Q (Aug 2017),19.7,19.87,19.55,19.8,19.75,0.075,316,0,1987,2017-08-16
2017-01-03,Q (Aug 2017),19.71,19.71,19.3,19.3,19.3,-0.45,153,0,2064,2017-08-16
2017-01-04,Q (Aug 2017),19.25,19.28,18.9,19.05,19.025,-0.275,271,0,2154,2017-08-16
2017-01-05,Q (Aug 2017),18.96,19.15,18.95,18.95,18.975,-0.05,242,0,2313,2017-08-16
2017-01-06,Q (Aug 2017),18.96,18.96,18.7,18.86,18.85,-0.125,133,0,2406,2017-08-16
2017-01-09,Q (Aug 2017),18.85,18.85,18.65,18.76,18.775,-0.075,50,0,2418,2017-08-16
2017-01-10,Q (Aug 2017),18.8,18.9,18.68,18.8,18.75,-0.025,493,0,2476,2017-08-16
2017-01-11,Q (Aug 2017),18.75,18.95,18.65,18.66,18.675,-0.075,146,0,2514,2017-08-16
2017-01-12,Q (Aug 2017),18.7,19.0,18.68,18.85,18.825,0.15,761,0,2890,2017-08-16
2017-01-13,Q (Aug 2017),18.8,19.0,18.75,18.95,18.975,0.15,343,0,3102,2017-08-16
2017-01-17,Q (Aug 2017),19.0,19.2,18.94,19.05,19.05,0.075,554,0,3278,2017-08-16
2017-01-18,Q (Aug 2017),19.05,19.13,18.87,19.04,19.025,-0.025,1830,0,4162,2017-08-16
2017-01-19,Q (Aug 2017),19.0,19.2,18.9,18.9,18.925,-0.1,1893,0,4615,2017-08-16
2017-01-20,Q (Aug 2017),18.85,18.93,18.6,18.8,18.825,-0.1,2670,0,5375,2017-08-16
2017-01-23,Q (Aug 2017),18.83,18.9,18.63,18.63,18.625,-0.2,1439,0,5974,2017-08-16
2017-01-24,Q (Aug 2017),18.63,18.65,18.05,18.16,18.175,-0.45,2096,0,6373,2017-08-16
2017-01-25,Q (Aug 2017),18.05,18.14,17.85,17.92,17.925,-0.25,1555,0,6798,2017-08-16
2017-01-26,Q (Aug 2017),17.9,18.0,17.83,17.94,17.925,0.0,1291,0,7076,2017-08-16
2017-01-27,Q (Aug 2017),17.95,18.1,17.9,18.0,18.025,0.1,1582,0,7713,2017-08-16
2017-01-30,Q (Aug 2017),18.09,18.39,18.05,18.05,18.075,0.05,2302,0,7980,2017-08-16
2017-01-31,Q (Aug 2017),18.1,18.2,17.95,17.96,17.975,-0.1,1060,0,8449,2017-08-16
2017-02-01,Q (Aug 2017),17.95,17.97,17.65,17.8,17.775,-0.2,1979,0,9354,2017-08-16
2017-02-02,Q (Aug 2017),17.8,17.91,17.7,17.87,17.875,0.1,1399,0,9953,2017-08-16
2017-02-03,Q (Aug 2017),17.9,17.9,17.56,17.7,17.675,-0.2,3244,0,11371,2017-08-16
2017-02-06,Q (Aug 2017),17.6,17.75,17.55,17.7,17.725,0.05,1572,0,11567,2017-08-16
2017-02-07,Q (Aug 2017),17.75,17.79,17.62,17.77,17.775,0.05,2177,0,11999,2017-08-16
2017-02-08,Q (Aug 2017),17.8,17.95,17.73,17.9,17.875,0.1,3612,0,12942,2017-08-16
2017-02-09,Q (Aug 2017),17.85,17.9,17.65,17.7,17.7,-0.175,2582,0,13885,2017-08-16
2017-02-10,Q (Aug 2017),17.65,17.7,17.58,17.65,17.625,-0.075,2388,0,15056,2017-08-16
2017-02-13,Q (Aug 2017),17.66,17.67,17.4,17.4,17.425,-0.2,2829,0,15966,2017-08-16
2017-02-14,Q (Aug 2017),17.4,17.41,16.9,16.9,16.875,-0.55,3764,0,16469,2017-08-16
2017-02-15,Q (Aug 2017),16.91,17.07,16.6,16.6,16.6,-0.275,8827,0,18083,2017-08-16
2017-02-16,Q (Aug 2017),16.64,17.15,16.6,16.8,16.775,0.175,4538,0,19051,2017-08-16
2017-02-17,Q (Aug 2017),16.75,17.03,16.75,16.85,16.875,0.1,1602,0,19107,2017-08-16
2017-02-21,Q (Aug 2017),16.9,17.03,16.73,17.0,17.025,0.15,3119,0,19920,2017-08-16
2017-02-22,Q (Aug 2017),17.0,17.2,16.95,17.08,17.075,0.05,2462,0,20477,2017-08-16
2017-02-23,Q (Aug 2017),17.05,17.45,17.05,17.42,17.425,0.35,5939,0,21716,2017-08-16
2017-02-24,Q (Aug 2017),17.4,17.85,17.4,17.55,17.525,0.1,7828,0,23919,2017-08-16
2017-02-27,Q (Aug 2017),17.5,17.55,17.13,17.22,17.225,-0.3,3109,0,24830,2017-08-16
2017-02-28,Q (Aug 2017),17.18,17.43,17.15,17.22,17.225,0.0,5729,0,24217,2017-08-16
2017-03-01,Q (Aug 2017),17.23,17.25,16.92,17.15,17.175,-0.05,3299,0,23891,2017-08-16
2017-03-02,Q (Aug 2017),17.15,17.37,17.15,17.25,17.275,0.1,3366,0,23744,2017-08-16
2017-03-03,Q (Aug 2017),17.26,17.35,16.95,16.97,16.975,-0.3,2554,0,23637,2017-08-16
2017-03-06,Q (Aug 2017),16.95,17.1,16.83,16.9,16.875,-0.1,2214,0,23458,2017-08-16
2017-03-07,Q (Aug 2017),16.9,16.95,16.74,16.95,16.925,0.05,1707,0,23408,2017-08-16
2017-03-08,Q (Aug 2017),16.95,17.05,16.64,16.88,16.875,-0.05,2591,0,23116,2017-08-16
2017-03-09,Q (Aug 2017),16.9,17.04,16.72,16.85,16.875,0.0,2357,0,23175,2017-08-16
2017-03-10,Q (Aug 2017),16.83,16.93,16.68,16.8,16.725,-0.15,1841,0,23333,2017-08-16
2017-03-13,Q (Aug 2017),16.75,16.81,16.64,16.7,16.675,-0.05,2211,0,22999,2017-08-16
2017-03-14,Q (Aug 2017),16.65,16.89,16.63,16.85,16.825,0.15,4012,0,23691,2017-08-16
2017-03-15,Q (Aug 2017),16.83,16.85,16.58,16.6,16.625,-0.2,3059,0,23783,2017-08-16
2017-03-16,Q (Aug 2017),16.59,16.61,16.35,16.35,16.375,-0.25,2354,0,24075,2017-08-16
2017-03-17,Q (Aug 2017),16.37,16.4,16.15,16.3,16.275,-0.1,3070,0,23695,2017-08-16
2017-03-20,Q (Aug 2017),16.3,16.35,16.13,16.2,16.225,-0.05,4185,0,24791,2017-08-16
2017-03-21,Q (Aug 2017),16.21,16.52,16.01,16.51,16.525,0.3,6179,0,25205,2017-08-16
2017-03-22,Q (Aug 2017),16.5,16.66,16.35,16.45,16.475,-0.05,13744,0,26798,2017-08-16
2017-03-23,Q (Aug 2017),16.49,16.74,16.3,16.7,16.675,0.2,4972,0,27356,2017-08-16
2017-03-24,Q (Aug 2017),16.65,16.8,16.35,16.36,16.35,-0.325,4032,0,27697,2017-08-16
2017-03-27,Q (Aug 2017),16.5,16.72,16.0,16.02,16.025,-0.325,5173,0,28208,2017-08-16
2017-03-28,Q (Aug 2017),16.0,16.05,15.72,15.74,15.725,-0.3,4808,0,28410,2017-08-16
2017-03-29,Q (Aug 2017),15.68,15.71,15.52,15.6,15.575,-0.15,3024,0,28078,2017-08-16
2017-03-30,Q (Aug 2017),15.58,15.6,15.45,15.49,15.475,-0.1,3178,0,28003,2017-08-16
2017-03-31,Q (Aug 2017),15.52,15.62,15.41,15.5,15.475,0.0,4993,0,28832,2017-08-16
2017-04-03,Q (Aug 2017),15.46,15.65,15.4,15.57,15.575,0.1,5263,0,28825,2017-08-16
2017-04-04,Q (Aug 2017),15.52,15.68,15.32,15.4,15.375,-0.2,3638,0,28725,2017-08-16
2017-04-05,Q (Aug 2017),15.38,15.75,15.1,15.68,15.675,0.3,4715,0,28570,2017-08-16
2017-04-06,Q (Aug 2017),15.7,15.78,15.28,15.35,15.375,-0.3,4437,0,28534,2017-08-16
