Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2009-05-13,Z (Dec 09),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2009-12-16
2009-05-14,Z (Dec 09),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2009-12-16
2009-05-15,Z (Dec 09),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2009-12-16
2009-05-18,Z (Dec 09),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2009-12-16
2009-05-19,Z (Dec 09),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2009-12-16
2009-05-20,Z (Dec 09),0.0,0.0,0.0,0.0,29.2,29.2,0,0,0,2009-12-16
2009-05-21,Z (Dec 09),31.15,31.3,31.1,31.1,31.2,2.0,17,0,17,2009-12-16
2009-05-22,Z (Dec 09),31.35,31.4,31.05,31.25,31.2,0.0,37,0,52,2009-12-16
2009-05-26,Z (Dec 09),31.2,31.25,30.1,30.2,30.15,-1.05,134,0,156,2009-12-16
2009-05-27,Z (Dec 09),29.95,30.0,29.35,29.85,29.85,-0.3,64,0,207,2009-12-16
2009-05-28,Z (Dec 09),29.55,30.15,29.55,29.95,30.05,0.2,88,0,262,2009-12-16
2009-05-29,Z (Dec 09),30.25,30.25,29.9,29.9,29.9,-0.15,23,0,257,2009-12-16
2009-06-01,Z (Dec 09),29.6,29.7,29.55,29.55,29.5,-0.4,12,0,255,2009-12-16
2009-06-02,Z (Dec 09),29.8,29.8,29.2,29.5,29.55,0.05,24,0,265,2009-12-16
2009-06-03,Z (Dec 09),30.0,30.13,29.7,30.05,30.1,0.55,54,0,314,2009-12-16
2009-06-04,Z (Dec 09),29.9,29.9,29.65,29.8,29.75,-0.35,16,0,324,2009-12-16
2009-06-05,Z (Dec 09),29.55,30.05,29.55,29.8,29.85,0.1,73,0,379,2009-12-16
2009-06-08,Z (Dec 09),30.5,30.75,30.05,30.16,29.95,0.1,40,0,408,2009-12-16
