Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest,Expiration Date
2007-09-21,H (Mar 08),0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2008-03-19
2007-09-24,H (Mar 08),19.37,19.37,19.37,19.37,19.5,19.5,186,0,186,2008-03-19
2007-09-25,H (Mar 08),19.5,19.5,19.5,19.5,19.5,0.0,100,0,286,2008-03-19
2007-09-26,H (Mar 08),19.16,19.16,19.16,19.16,19.22,-0.28,20,0,306,2008-03-19
2007-09-27,H (Mar 08),19.1,19.1,19.09,19.09,19.1,-0.12,100,0,406,2008-03-19
2007-09-28,H (Mar 08),19.23,19.47,19.23,19.46,19.33,0.23,18,0,413,2008-03-19
2007-10-01,H (Mar 08),19.25,19.45,19.16,19.37,19.41,0.08,309,0,555,2008-03-19
2007-10-02,H (Mar 08),19.45,19.56,19.45,19.56,19.53,0.12,52,0,562,2008-03-19
2007-10-03,H (Mar 08),19.74,19.84,19.74,19.84,19.84,0.31,16,0,578,2008-03-19
2007-10-04,H (Mar 08),19.82,19.82,19.82,19.82,19.87,0.03,2,0,578,2008-03-19
2007-10-05,H (Mar 08),19.15,19.15,19.15,19.15,19.28,-0.59,10,0,588,2008-03-19
2007-10-08,H (Mar 08),19.44,19.64,19.44,19.64,19.46,0.18,50,0,559,2008-03-19
2007-10-09,H (Mar 08),19.44,19.45,19.16,19.16,19.05,-0.41,132,0,521,2008-03-19
2007-10-10,H (Mar 08),19.21,19.27,19.21,19.27,19.35,0.3,10,0,490,2008-03-19
2007-10-11,H (Mar 08),19.26,19.8,19.18,19.8,19.81,0.46,13,0,499,2008-03-19
2007-10-12,H (Mar 08),19.74,19.79,19.74,19.79,19.79,-0.02,20,0,499,2008-03-19
2007-10-15,H (Mar 08),19.87,20.56,19.87,20.56,20.53,0.74,23,0,512,2008-03-19
2007-10-16,H (Mar 08),20.79,21.11,20.79,21.1,21.15,0.62,66,0,488,2008-03-19
