Date,vix_percentile_1y,spx_rv_percentile_1y,vvix_percentile_1y,credit_spread_percentile_1y,yield_curve_slope_percentile_1y,vix_change_5d,credit_spread_change_21d,term_structure_ratio_1_0,term_structure_slope_2_1,complacency_risk,confirmed_risk_off,spx_drawdown_5pct_21d
2019-01-03,0.9444444444444444,0.9880952380952381,0.011904761904761904,1.0,0.061507936507936505,-0.1631042420256494,0.2680652680652682,0.9577603143418468,-1.6000000000000014,-0.009061346779202749,0.9444444444444444,0.0
2019-01-04,0.8373015873015873,1.0,0.01984126984126984,0.9642857142857143,0.06349206349206349,-0.2863818424566089,0.1222222222222222,1.0254911131898972,-0.6999999999999993,-0.04659387119333716,0.8073979591836735,0.0
2019-01-07,0.8373015873015873,0.9920634920634921,0.007936507936507936,0.9563492063492064,0.06547619047619048,-0.2448835568101623,0.0733333333333332,1.0011682242990656,-0.5,-0.03984216598895497,0.8007527084908038,0.0
2019-01-08,0.7797619047619048,0.996031746031746,0.007936507936507936,0.9484126984126984,0.037698412698412696,-0.1947285601888277,0.0197368421052632,1.007572056668295,0.0,-0.042886647184444196,0.7395360922146637,0.0
2019-01-09,0.748015873015873,0.9761904761904762,0.047619047619047616,0.9365079365079365,0.08134920634920635,-0.1395348837209301,0.0089285714285711,1.0072572572572571,0.1499999999999985,-0.03516057585825024,0.700522801713278,0.0
2019-01-10,0.7103174603174603,0.9761904761904762,0.04365079365079365,0.9365079365079365,0.08333333333333333,-0.2337917485265226,0.0318181818181817,1.0192307692307692,0.1499999999999985,-0.06772538746998472,0.6652179390274628,0.0
2019-01-11,0.6428571428571429,0.9761904761904762,0.023809523809523808,0.9365079365079365,0.05357142857142857,-0.1492048643592141,0.0364464692482915,1.0459043430456294,0.4500000000000028,-0.05328745155686217,0.6020408163265306,0.0
2019-01-14,0.6904761904761905,0.9642857142857143,0.015873015873015872,0.9444444444444444,0.08928571428571429,-0.1088785046728971,0.0313901345291478,1.0081279496591506,0.25,-0.033700489541611006,0.6521164021164021,0.0
2019-01-15,0.6587301587301587,0.9841269841269841,0.003968253968253968,0.9305555555555556,0.10317460317460317,-0.091353199804592,-0.0065502183406114,1.0120967741935485,0.0,-0.031176091996805207,0.6129850088183422,0.0
2019-01-16,0.6865079365079365,0.9523809523809523,0.027777777777777776,0.9007936507936508,0.09126984126984126,-0.0470470470470471,-0.0593220338983049,0.9992121848739496,0.0500000000000007,-0.014748875859986986,0.6184019904258,0.0
2019-01-17,0.6190476190476191,0.9404761904761905,0.01984126984126984,0.8948412698412699,0.10912698412698413,-0.0738461538461539,-0.0909090909090908,1.0257475083056478,0.25,-0.02813186813186815,0.5539493575207861,0.0
2019-01-18,0.5992063492063492,0.9404761904761905,0.015873015873015872,0.8650793650793651,0.07539682539682539,-0.0214403518416712,-0.1643835616438357,1.0294943820224718,0.3000000000000007,-0.008593156888923776,0.5183610481229529,0.0
2019-01-22,0.7996031746031746,0.9365079365079365,0.3134920634920635,0.8968253968253969,0.05555555555555555,0.0907184058730992,-0.1757009345794391,0.9699519230769232,-0.4499999999999993,0.018179680542029796,0.7171044343663392,0.0
2019-01-23,0.7103174603174603,0.9285714285714286,0.11904761904761904,0.8829365079365079,0.10119047619047619,0.0494623655913977,-0.1794392523364486,1.010502049180328,-0.1500000000000021,0.014328383683222349,0.6271652179390275,0.0
2019-01-24,0.6587301587301587,0.9007936507936508,0.05952380952380952,0.9007936507936508,0.057539682539682536,-0.0078781512605041,-0.1713221601489757,1.0150873478030704,0.0500000000000007,-0.0026885754301720346,0.5933799445704208,0.0
2019-01-25,0.5753968253968254,0.8174603174603174,0.03968253968253968,0.873015873015873,0.05952380952380952,-0.0354374307862678,-0.1933085501858735,1.0490815154994255,0.25,-0.015046845611629583,0.5023305618543713,0.0
2019-01-28,0.6547619047619048,0.5674603174603174,0.07936507936507936,0.8908730158730159,0.03968253968253968,0.0601123595505617,-0.1679245283018867,1.0135135135135134,0.0,0.020753076511503443,0.5833097127739986,0.0
2019-01-29,0.6845238095238095,0.5634920634920635,0.09126984126984126,0.8809523809523809,0.06547619047619048,-0.0802884615384615,-0.1744840525328329,0.9892838473601674,-0.0500000000000007,-0.02532909798534797,0.6030328798185941,0.0
2019-01-30,0.5714285714285714,0.5793650793650794,0.011904761904761904,0.8650793650793651,0.11904761904761904,-0.0952868852459015,-0.1819887429643526,1.0178369195922992,0.3999999999999986,-0.04083723653395779,0.4943310657596372,0.0
2019-01-31,0.5158730158730159,0.5793650793650794,0.003968253968253968,0.8650793650793651,0.12103174603174603,-0.1228163049232398,-0.1831775700934579,1.0334942667471334,0.6499999999999986,-0.05945868730410815,0.4462711010330059,0.0
2019-02-01,0.4781746031746032,0.5793650793650794,0.007936507936507936,0.8392857142857143,0.12301587301587301,-0.0734787600459242,-0.2113970588235294,1.0548327137546467,0.5,-0.0383430831192025,0.4013251133786848,0.0
2019-02-04,0.43253968253968256,0.49603174603174605,0.003968253968253968,0.8174603174603174,0.1626984126984127,-0.1664016958134605,-0.1584158415841583,1.0505403687221868,0.5500000000000007,-0.09442635913224148,0.35358402620307383,0.0
2019-02-05,0.42063492063492064,0.4087301587301587,0.015873015873015872,0.7936507936507936,0.125,-0.1860951385258755,-0.1407867494824015,1.0613359023763649,0.4500000000000028,-0.10781702470149929,0.3338372385991433,0.0
2019-02-06,0.40476190476190477,0.4087301587301587,0.0873015873015873,0.7896825396825397,0.12698412698412698,-0.1291053227633068,-0.1118279569892474,1.0646944083224967,0.4499999999999993,-0.07684840640673024,0.3196334089191232,0.0
2019-02-07,0.5,0.43253968253968256,0.09126984126984126,0.8373015873015873,0.09722222222222222,-0.0120700060350029,-0.0508849557522123,1.0491753207086132,0.1999999999999993,-0.00603500301750145,0.41865079365079366,0.0
2019-02-08,0.43253968253968256,0.43253968253968256,0.03968253968253968,0.8492063492063492,0.13293650793650794,-0.0260223048327137,-0.0484581497797356,1.0575699745547074,0.4499999999999993,-0.01476662536142087,0.3673154446963971,0.0
2019-02-11,0.4742063492063492,0.43253968253968256,0.047619047619047616,0.8214285714285714,0.0992063492063492,0.0152574698029244,-0.0593406593406592,1.0159674389480275,0.75,0.008022280749553504,0.3895266439909297,0.0
2019-02-12,0.4146825396825397,0.4444444444444444,0.023809523809523808,0.7817460317460317,0.1388888888888889,-0.0089916506101477,-0.0934782608695651,1.0126377187297473,1.1000000000000014,-0.005262970099193594,0.32417642983119177,0.0
2019-02-13,0.4365079365079365,0.4444444444444444,0.015873015873015872,0.7698412698412699,0.14087301587301587,0.0175552665799738,-0.0945054945054943,1.0654952076677318,0.1499999999999985,0.009892253390302698,0.33604182413706224,0.0
2019-02-14,0.5,0.4365079365079365,0.031746031746031744,0.7797619047619048,0.06746031746031746,-0.0091631032376299,-0.0608108108108108,1.0434648581997534,0.1999999999999993,-0.00458155161881495,0.3898809523809524,0.0
